Exp_type,RA_setup,SA_setup,U_setup,CRS,UR1,UR2,UR3,SR,Auth,Sub,Sub2,User,RA,SA,Tot(ms)
ours, 3, 3, 0, 7, 4, 14, 13, 1, 8, 38, 96, 57, 17, 101, 192
ours, 3, 5, 0, 13, 4, 11, 8, 1, 8, 38, 96, 52, 15, 103, 193
ours, 14, 12, 0, 10, 2, 6, 8, 1, 8, 37, 96, 48, 21, 110, 200
ours, 10, 7, 0, 8, 2, 6, 9, 1, 8, 37, 96, 49, 17, 105, 189
ours, 3, 7, 0, 14, 2, 7, 8, 1, 8, 37, 96, 49, 10, 105, 187
ours, 3, 4, 0, 11, 3, 13, 17, 3, 8, 37, 95, 58, 16, 103, 199
ours, 3, 3, 0, 10, 3, 8, 9, 1, 8, 37, 95, 50, 11, 100, 181
ours, 7, 7, 0, 14, 4, 11, 8, 1, 8, 37, 94, 51, 18, 103, 195
ours, 8, 7, 0, 8, 2, 6, 9, 1, 8, 37, 96, 49, 15, 105, 186
ours, 3, 9, 0, 11, 2, 6, 9, 1, 8, 37, 96, 49, 10, 107, 186
ours, 3, 5, 0, 14, 3, 7, 9, 1, 8, 38, 96, 51, 10, 103, 187
ours, 3, 7, 0, 9, 2, 7, 9, 1, 8, 37, 94, 48, 11, 103, 182
ours, 4, 5, 0, 9, 2, 6, 8, 1, 8, 37, 94, 49, 10, 101, 179
ours, 3, 5, 0, 8, 2, 6, 8, 1, 8, 37, 97, 48, 10, 104, 180
ours, 4, 5, 0, 9, 2, 6, 9, 1, 8, 37, 94, 48, 11, 101, 180
ours, 4, 5, 0, 9, 2, 6, 8, 1, 8, 37, 94, 49, 11, 101, 180
ours, 7, 7, 0, 6, 2, 6, 9, 1, 8, 38, 96, 49, 14, 105, 184
ours, 3, 5, 0, 9, 2, 6, 8, 1, 8, 37, 94, 48, 10, 101, 178
ours, 4, 5, 0, 10, 2, 6, 8, 1, 8, 37, 94, 48, 10, 101, 179
ours, 7, 5, 0, 6, 2, 6, 8, 1, 8, 37, 94, 48, 14, 101, 180
ours, 3, 5, 0, 10, 2, 6, 8, 1, 8, 37, 94, 48, 10, 101, 179
ours, 4, 9, 0, 14, 4, 8, 8, 1, 8, 37, 96, 51, 12, 107, 194
ours, 3, 3, 0, 6, 5, 15, 30, 2, 8, 38, 145, 74, 18, 151, 259
ours, 6, 9, 0, 15, 2, 6, 9, 1, 9, 39, 98, 51, 13, 109, 199
ours, 3, 6, 0, 12, 2, 6, 8, 1, 8, 37, 95, 48, 10, 103, 182
ours, 3, 7, 0, 10, 2, 6, 8, 1, 8, 37, 95, 48, 10, 104, 183
ours, 7, 8, 0, 14, 4, 8, 9, 1, 8, 38, 100, 53, 15, 110, 203
ours, 10, 8, 0, 14, 4, 13, 10, 1, 8, 37, 95, 52, 24, 105, 205
ours, 14, 12, 0, 13, 2, 6, 8, 1, 8, 37, 94, 48, 20, 108, 200
ours, 4, 7, 0, 10, 2, 6, 9, 1, 8, 38, 97, 49, 10, 106, 186
ours, 4, 5, 0, 9, 2, 6, 9, 1, 8, 39, 99, 50, 11, 106, 188
ours, 3, 5, 0, 10, 2, 6, 9, 1, 8, 37, 96, 49, 10, 103, 182
ours, 8, 7, 0, 13, 4, 11, 12, 1, 8, 38, 106, 55, 19, 116, 213
ours, 8, 7, 0, 6, 2, 6, 8, 1, 8, 37, 94, 48, 15, 103, 182
ours, 4, 5, 0, 9, 2, 6, 9, 1, 8, 38, 97, 49, 10, 104, 183
ours, 4, 5, 0, 9, 2, 7, 9, 1, 8, 38, 98, 50, 11, 105, 185
ours, 4, 5, 0, 9, 2, 6, 9, 1, 8, 38, 97, 50, 10, 105, 185
ours, 4, 5, 0, 9, 2, 7, 9, 1, 8, 38, 99, 50, 11, 107, 187
ours, 4, 5, 0, 12, 4, 8, 9, 1, 8, 38, 96, 52, 12, 103, 189
ours, 3, 5, 0, 9, 2, 6, 8, 1, 8, 37, 94, 48, 10, 102, 179
ours, 8, 7, 0, 12, 2, 7, 9, 1, 8, 38, 97, 49, 15, 106, 192
ours, 3, 6, 0, 10, 2, 6, 8, 1, 8, 37, 94, 48, 9, 102, 179
ours, 5, 7, 0, 14, 3, 7, 9, 1, 9, 45, 99, 58, 13, 108, 203
ours, 9, 7, 0, 11, 2, 6, 9, 1, 8, 39, 99, 50, 16, 108, 196
ours, 4, 5, 0, 9, 2, 6, 8, 1, 8, 38, 94, 49, 11, 101, 180
ours, 3, 5, 0, 8, 2, 6, 9, 1, 8, 37, 94, 48, 10, 101, 178
ours, 3, 5, 0, 10, 2, 6, 9, 1, 8, 37, 94, 48, 10, 102, 179
ours, 8, 6, 0, 6, 2, 6, 9, 1, 8, 38, 97, 49, 15, 106, 186
ours, 9, 7, 0, 6, 2, 7, 9, 1, 8, 38, 99, 50, 16, 108, 190
ours, 4, 7, 0, 11, 2, 7, 9, 1, 9, 39, 101, 51, 11, 110, 193
orig., 3, 1, 0, 0, 12, 10, 3, 0, 3, 155, 240, 171, 13, 243, 432
